Index,Ground Truth,Prediction,Decision,Confidence
0,Shellcode,Reconnaissance,BLOCK,0.58
1,Generic,Generic,BLOCK,0.82
2,Reconnaissance,Reconnaissance,BLOCK,0.58
3,Fuzzers,Exploits,BLOCK,0.33
4,Fuzzers,Reconnaissance,BLOCK,0.49
5,Exploits,Reconnaissance,BLOCK,0.49
6,DoS,Reconnaissance,BLOCK,0.49
7,Shellcode,Exploits,BLOCK,0.33
8,Backdoor,Reconnaissance,BLOCK,0.49
9,Analysis,Exploits,BLOCK,0.42
10,Backdoor,Reconnaissance,BLOCK,0.49
11,Exploits,Exploits,BLOCK,0.36
12,Reconnaissance,Exploits,BLOCK,0.59
13,Exploits,Exploits,BLOCK,0.39
14,Worms,Exploits,BLOCK,0.26
15,Analysis,Reconnaissance,BLOCK,0.49
16,Reconnaissance,Reconnaissance,BLOCK,0.49
17,Reconnaissance,Reconnaissance,BLOCK,0.49
18,Backdoor,Reconnaissance,BLOCK,0.49
19,Exploits,Reconnaissance,BLOCK,0.49
20,Generic,Generic,BLOCK,0.82
21,Shellcode,Reconnaissance,BLOCK,0.58
22,DoS,Exploits,BLOCK,0.41
23,Fuzzers,Exploits,BLOCK,0.38
24,Normal,Exploits,BLOCK,0.53
25,Backdoor,DoS,BLOCK,0.68
26,Fuzzers,Exploits,BLOCK,0.49
27,Worms,Exploits,BLOCK,0.49
28,Analysis,Reconnaissance,BLOCK,0.49
29,Reconnaissance,Reconnaissance,BLOCK,0.58
30,Backdoor,Reconnaissance,BLOCK,0.49
31,Fuzzers,Reconnaissance,BLOCK,0.58
32,Shellcode,Exploits,BLOCK,0.5
33,DoS,Reconnaissance,BLOCK,0.49
34,Worms,Exploits,BLOCK,0.41
35,Analysis,Exploits,BLOCK,0.38
36,Normal,Reconnaissance,BLOCK,0.58
37,Normal,Exploits,BLOCK,0.44
38,Exploits,Exploits,BLOCK,0.31
39,Backdoor,DoS,BLOCK,0.55
40,Fuzzers,Reconnaissance,BLOCK,0.58
41,Exploits,Exploits,BLOCK,0.41
42,Analysis,Reconnaissance,BLOCK,0.49
43,Worms,Exploits,BLOCK,0.36
44,DoS,Reconnaissance,BLOCK,0.49
45,Backdoor,Reconnaissance,BLOCK,0.49
46,Shellcode,Exploits,BLOCK,0.5
47,DoS,Reconnaissance,BLOCK,0.49
48,Normal,Normal,ALLOW,0.5
49,Backdoor,Reconnaissance,BLOCK,0.49
50,DoS,Reconnaissance,BLOCK,0.49
51,Analysis,Exploits,BLOCK,0.37
52,Backdoor,Reconnaissance,BLOCK,0.49
53,Exploits,Reconnaissance,BLOCK,0.49
54,Analysis,Reconnaissance,BLOCK,0.49
55,Reconnaissance,Reconnaissance,BLOCK,0.49
56,Analysis,Exploits,BLOCK,0.48
57,Normal,Normal,ALLOW,0.5
58,Exploits,Exploits,BLOCK,0.34
59,Shellcode,Reconnaissance,BLOCK,0.58
60,Generic,Reconnaissance,BLOCK,0.49
61,Worms,Normal,ALLOW,0.34
62,Generic,Generic,BLOCK,0.82
63,Fuzzers,Exploits,BLOCK,0.31
64,Generic,Generic,BLOCK,0.82
65,Normal,Normal,ALLOW,0.5
66,Fuzzers,Exploits,BLOCK,0.48
67,Normal,Exploits,BLOCK,0.46
68,Normal,Exploits,BLOCK,0.29
69,Worms,DoS,BLOCK,0.36
70,Reconnaissance,Exploits,BLOCK,0.51
71,Fuzzers,Exploits,BLOCK,0.45
72,Generic,Generic,BLOCK,0.82
73,Fuzzers,Reconnaissance,BLOCK,0.58
74,Worms,Normal,ALLOW,0.26
75,Generic,Generic,BLOCK,0.82
76,Reconnaissance,Reconnaissance,BLOCK,0.58
77,Exploits,Exploits,BLOCK,0.44
78,Worms,Exploits,BLOCK,0.45
79,Generic,Generic,BLOCK,0.82
80,Normal,Normal,ALLOW,0.5
81,Shellcode,Exploits,BLOCK,0.48
82,Exploits,Exploits,BLOCK,0.43
83,DoS,Reconnaissance,BLOCK,0.49
84,Analysis,Reconnaissance,BLOCK,0.49
85,Generic,Generic,BLOCK,0.82
86,DoS,Reconnaissance,BLOCK,0.49
87,Analysis,Reconnaissance,BLOCK,0.49
88,DoS,Exploits,BLOCK,0.5
89,Shellcode,Reconnaissance,BLOCK,0.58
90,Worms,Exploits,BLOCK,0.42
91,Reconnaissance,Reconnaissance,BLOCK,0.49
92,Shellcode,Exploits,BLOCK,0.34
93,Shellcode,Exploits,BLOCK,0.48
94,DoS,Reconnaissance,BLOCK,0.49
95,Normal,Exploits,BLOCK,0.37
96,Reconnaissance,Reconnaissance,BLOCK,0.49
97,Backdoor,Exploits,BLOCK,0.62
98,Worms,Exploits,BLOCK,0.59
99,Generic,Generic,BLOCK,0.82
0,Normal,Normal,ALLOW,0.5
1,Shellcode,Exploits,BLOCK,0.48
2,Generic,Generic,BLOCK,0.82
3,Normal,Exploits,BLOCK,0.53
4,Backdoor,Reconnaissance,BLOCK,0.49
5,Analysis,Reconnaissance,BLOCK,0.49
6,Reconnaissance,Reconnaissance,BLOCK,0.49
7,Normal,Normal,ALLOW,0.5
8,Worms,Exploits,BLOCK,0.41
9,Normal,Normal,ALLOW,0.5
10,Worms,Exploits,BLOCK,0.36
11,Normal,Normal,ALLOW,0.5
12,Worms,Normal,ALLOW,0.26
13,Normal,Normal,ALLOW,0.37
14,Reconnaissance,Reconnaissance,BLOCK,0.58
15,Exploits,Exploits,BLOCK,0.44
16,Normal,DoS,BLOCK,0.68
17,Analysis,Reconnaissance,BLOCK,0.49
18,Worms,Exploits,BLOCK,0.49
19,Normal,Exploits,BLOCK,0.26
20,Shellcode,Exploits,BLOCK,0.48
21,Normal,Normal,ALLOW,0.5
22,Normal,Normal,ALLOW,0.5
23,DoS,Reconnaissance,BLOCK,0.49
24,Worms,Exploits,BLOCK,0.42
25,Normal,Reconnaissance,BLOCK,0.58
26,Normal,Reconnaissance,BLOCK,0.58
27,Generic,Generic,BLOCK,0.82
28,Normal,Normal,ALLOW,0.5
29,Normal,Normal,ALLOW,0.5
30,Exploits,Reconnaissance,BLOCK,0.49
31,Normal,Normal,ALLOW,0.5
32,Normal,Normal,ALLOW,0.5
