,dttl,swin,dwin,tcprtt,synack,ackdat,label,proto_tcp,proto_udp,service_dns,state_FIN,attack_cat_DoS,attack_cat_Exploits,attack_cat_Normal
35,0.9921259842519685,1.0,1.0,0.13857363846026904,0.2112409257003654,0.06894297365070737,6,1.0,0.0,0.0,1.0,0,0,1
40,0.9921259842519685,1.0,1.0,0.1209618018893112,0.20192350791717414,0.05386426564592387,6,1.0,0.0,0.0,1.0,0,0,1
45,0.9921259842519685,1.0,1.0,0.18440104058356396,0.25034640682095,0.10282424699503742,6,1.0,0.0,0.0,1.0,0,0,1
49,0.9921259842519685,1.0,1.0,0.12171513823688436,0.16418806333739341,0.06824988536305678,6,1.0,0.0,0.0,1.0,0,0,1
72,0.9921259842519685,1.0,1.0,0.09395707525716071,0.1452082825822168,0.04603173600007303,6,1.0,0.0,0.0,1.0,0,0,1
89,0.9921259842519685,1.0,1.0,0.2022563865883322,0.2927045066991473,0.1062524709264561,6,1.0,0.0,0.0,1.0,0,0,1
99,0.9921259842519685,1.0,1.0,0.09464668324051352,0.13906358099878197,0.04896770573732445,6,1.0,0.0,0.0,1.0,0,0,1
116,0.9921259842519685,1.0,1.0,0.22398977126213016,0.2132794153471376,0.1576217591802598,6,1.0,0.0,0.0,1.0,0,0,1
130,0.9921259842519685,1.0,1.0,0.12353441532915364,0.1464380024360536,0.076550091604222,6,1.0,0.0,0.0,1.0,0,0,1
135,0.9921259842519685,1.0,1.0,0.17659330972924164,0.27776077953714984,0.08477305396327825,6,1.0,0.0,0.0,1.0,0,0,1
136,0.9921259842519685,1.0,1.0,0.16513025406821752,0.20686577344701582,0.09831882201675349,6,1.0,0.0,0.0,1.0,0,0,1
137,0.9921259842519685,1.0,1.0,0.16513025406821752,0.20686577344701582,0.09831882201675349,6,1.0,0.0,0.0,1.0,0,0,1
139,0.9921259842519685,1.0,1.0,0.16513025406821752,0.20686577344701582,0.09831882201675349,6,1.0,0.0,0.0,1.0,0,0,1
143,0.9921259842519685,1.0,1.0,0.1076640401636276,0.14973934226552982,0.058747483429431736,6,1.0,0.0,0.0,1.0,0,0,1
145,0.9921259842519685,1.0,1.0,0.17271929600953106,0.2027088915956151,0.1077608332789115,6,1.0,0.0,0.0,1.0,0,0,1
146,0.9921259842519685,1.0,1.0,0.17271929600953106,0.2027088915956151,0.1077608332789115,6,1.0,0.0,0.0,1.0,0,0,1
149,0.9921259842519685,1.0,1.0,0.09589643000411886,0.13193081607795368,0.05284605083630547,6,1.0,0.0,0.0,1.0,0,0,1
151,0.9921259842519685,1.0,1.0,0.10037754024613905,0.14032448233861144,0.054512412038529245,6,1.0,0.0,0.0,1.0,0,0,1
157,0.9921259842519685,1.0,1.0,0.1495335754563957,0.19142119366626065,0.08755734480475204,6,1.0,0.0,0.0,1.0,0,0,1
160,0.9921259842519685,1.0,1.0,0.11675908397520095,0.17865822168087697,0.05784794331141713,6,1.0,0.0,0.0,1.0,0,0,1
182,0.9921259842519685,1.0,1.0,0.10420526704867908,0.1714397076735688,0.047307664489091406,6,1.0,0.0,0.0,1.0,0,0,1
214,0.9921259842519685,1.0,1.0,0.1827360532151966,0.23030450669914737,0.10830294488789455,6,1.0,0.0,0.0,1.0,0,0,1
241,0.9921259842519685,1.0,1.0,0.22528177999358692,0.34322825822168085,0.11215039243403195,6,1.0,0.0,0.0,1.0,0,0,1
253,0.9921259842519685,1.0,1.0,0.03732670916118714,0.013602923264311813,0.034171991227903854,3,1.0,0.0,0.0,1.0,0,1,0
254,0.9921259842519685,1.0,1.0,0.08314404891118413,0.10925797807551765,0.04766649743234313,3,1.0,0.0,0.0,1.0,0,1,0
255,0.9921259842519685,1.0,1.0,0.039317046599521566,0.023045066991473812,0.0328532274951705,3,1.0,0.0,0.0,1.0,0,1,0
257,0.9921259842519685,1.0,1.0,0.04032865052840876,0.019619001218026795,0.0351466685766972,3,1.0,0.0,0.0,1.0,0,1,0
261,0.9921259842519685,1.0,1.0,0.016224570705613863,0.01911035322777101,0.010097882042974283,7,1.0,0.0,0.0,1.0,0,0,0
262,0.9921259842519685,1.0,1.0,0.035520848566648465,0.05600584652862362,0.01700278288640725,3,1.0,0.0,0.0,1.0,0,1,0
263,0.9921259842519685,1.0,1.0,0.07273754244644469,0.13217247259439707,0.02851633462330616,3,1.0,0.0,0.0,1.0,0,1,0
264,0.9921259842519685,1.0,1.0,0.0644246804525653,0.0944,0.03342483222277697,3,1.0,0.0,0.0,1.0,0,1,0
271,0.9921259842519685,1.0,1.0,0.051598508622112266,0.05048867235079171,0.0358207970023756,3,1.0,0.0,0.0,1.0,0,1,0
273,0.9921259842519685,1.0,1.0,0.0446695583691442,0.08966820950060901,0.014450223691260415,4,1.0,0.0,0.0,1.0,0,0,0
274,0.9921259842519685,1.0,1.0,0.040906230755711065,0.062062850182704014,0.020457691068009022,4,1.0,0.0,0.0,1.0,0,0,0
276,0.9921259842519685,1.0,1.0,0.0787454501302071,0.1120136419001218,0.042069124847882215,4,1.0,0.0,0.0,1.0,0,0,0
278,0.9921259842519685,1.0,1.0,0.058659611377726725,0.09351522533495736,0.027708784946712254,3,1.0,0.0,0.0,1.0,0,1,0
279,0.9921259842519685,1.0,1.0,0.07172258439312484,0.12250231425091351,0.03093828143597781,3,1.0,0.0,0.0,1.0,0,1,0
293,0.9921259842519685,1.0,1.0,0.08718845215207331,0.09228355663824603,0.05801647541783673,3,1.0,0.0,0.0,1.0,0,1,0
295,0.9921259842519685,1.0,1.0,0.07233370586475364,0.10076686967113276,0.039409828652002966,3,1.0,0.0,0.0,1.0,0,1,0
296,0.9921259842519685,1.0,1.0,0.06784722902364121,0.09874007308160779,0.03544370641426174,3,1.0,0.0,0.0,1.0,0,1,0
297,0.9921259842519685,1.0,1.0,0.041252376397160534,0.018469183922046283,0.03652792963222783,3,1.0,0.0,0.0,1.0,0,1,0
299,0.9921259842519685,1.0,1.0,0.0363587088499244,0.016259196102314247,0.03220157001701472,7,1.0,0.0,0.0,1.0,0,0,0
300,0.9921259842519685,1.0,1.0,0.04187758519140646,0.02919366626065773,0.03331809522204456,3,1.0,0.0,0.0,1.0,0,1,0
301,0.9921259842519685,1.0,1.0,0.07780428281440556,0.0867020706455542,0.05020431006817826,3,1.0,0.0,0.0,1.0,0,1,0
302,0.9921259842519685,1.0,1.0,0.03517067797587982,0.014721559074299633,0.03151199281491453,3,1.0,0.0,0.0,1.0,0,1,0
303,0.9921259842519685,1.0,1.0,0.039992567260257246,0.027012911084043845,0.032130646088896465,3,1.0,0.0,0.0,1.0,0,1,0
304,0.9921259842519685,1.0,1.0,0.07010925054102027,0.0805144945188794,0.0443787169229408,3,1.0,0.0,0.0,1.0,0,1,0
305,0.9921259842519685,1.0,1.0,0.048772994200048034,0.09639561510353227,0.01632163228962804,3,1.0,0.0,0.0,1.0,0,1,0
306,0.9921259842519685,1.0,1.0,0.06738838480125471,0.07088331303288672,0.04500088128247315,3,1.0,0.0,0.0,1.0,0,1,0
312,0.9921259842519685,1.0,1.0,0.10378130572039214,0.1613856272838002,0.050486601346431084,7,1.0,0.0,0.0,1.0,0,0,0
316,0.9921259842519685,1.0,1.0,0.11843212124220669,0.1485563946406821,0.07044571826628213,3,1.0,0.0,0.0,1.0,0,1,0
319,0.9921259842519685,1.0,1.0,0.07650757830874312,0.0953198538367844,0.0457417203336093,7,1.0,0.0,0.0,1.0,0,0,0
323,0.9921259842519685,1.0,1.0,0.09468290778438614,0.11448867235079171,0.057860583219398604,3,1.0,0.0,0.0,1.0,0,1,0
324,0.9921259842519685,1.0,1.0,0.16504505930762822,0.24318051157125456,0.08514452681451144,3,1.0,0.0,0.0,1.0,0,1,0
329,0.9921259842519685,1.0,1.0,0.11536242656144555,0.18701291108404383,0.053375522537307034,3,1.0,0.0,0.0,1.0,0,1,0
331,0.9921259842519685,1.0,1.0,0.10160582061337543,0.1623444579780755,0.04786382044027608,3,1.0,0.0,0.0,1.0,0,1,0
